Time,Pheromone
1477876216813, 48.0
1477876201793, 45.0
1477876186773, 42.0
1477876171753, 39.0
1477876156733, 36.0
1477876141713, 33.0
1477876126693, 34.0
1477876111673, 35.0
1477876096654, 36.0
1477876081633, 57.0
1477876066613, 54.0
1477876051593, 51.0
1477876036573, 48.0
1477876021553, 45.0
1477876006533, 42.0
1477875991513, 39.0
1477875976494, 36.0
1477875961473, 33.0
1477875946453, 34.0
1477875931433, 35.0
1477875916413, 36.0
1477875901394, 56.0
1477875886374, 53.0
1477875871353, 50.0
1477875856333, 47.0
1477875841313, 44.0
1477875826294, 41.0
1477875811273, 38.0
1477875796253, 35.0
1477875781233, 32.0
1477875766214, 33.0
1477875751194, 34.0
1477875736173, 35.0
1477875721153, 36.0
1477875706134, 58.0
1477875691113, 59.0
1477875676093, 52.0
1477875661074, 53.0
1477875646053, 46.0
1477875631034, 47.0
1477875616017, 40.0
