Time,Server
1477875570263,1
1477875600321,1
1477875601092,0
1477875616120,0
1477875630379,1
1477875631150,2
1477875661213,2
1477875691268,2
1477875721315,2
1477875786034,0
1477875801044,0
1477875816065,0
1477875831084,0
1477875846104,0
1477875861124,0
1477875876154,0
1477875891165,0
1477875906184,0
1477875966221,0
1477875981234,0
1477875996255,0
1477876011275,0
1477876026295,0
1477876041314,0
1477876056334,0
1477876071355,0
1477876086377,0
1477876146413,0
1477876161426,0
1477876176445,0
1477876191464,0
1477876206484,0
1477876221504,0
