Time,CPU,ClientsInRoom,Rooms,Users,LocalUsers,Latency,BwUp,BwDown,InStreamBw,OutStreamBw,Streams,OutStreams
1478134477715,9.83941836085696,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134447698,8.904342236666702,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134417666,7.706022004481977,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134387656,10.352159597754312,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134357638,36.75620537232234,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134327620,12.218813905930471,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134297604,28.10973105923073,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134267580,50.7162823200559,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134238156,36.3265306122449,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
