Time,Server
1479052534827,0
1479052577843,0
1479052617864,0
1479052661882,0
1479052699903,0
1479052738924,0
1479052777943,0
1479052816962,0
1479052857983,0
1479052899003,0
1479052938023,0
1479052976043,0
1479053017063,0
1479053058084,0
1479053098103,0
1479053138123,0
1479053178142,0
1479053218162,0
1479053258183,0
1479053297203,0
1479053365214,0
1479053394316,1
1479053409457,0
1479053440490,1
1479053455519,0
1479053488550,1
1479053514588,0
1479053544625,1
1479053569658,0
1479053601689,1
1479053625788,0
1479053656817,1
1479053682848,0
1479053713875,1
1479053736903,0
1479053762936,1
1479053786965,0
1479053812996,1
1479053837027,0
1479053864055,1
1479053887090,0
1479053913114,1
1479053937134,0
1479053963164,1
1479053986214,0
1479054011248,1
1479054033276,0
1479054059305,1
1479054081335,0
1479054106362,1
1479054129421,0
1479054155442,1
