Time,Server
1478794260956,1
1478794287003,0
1478794318037,1
1478794344089,0
1478794375115,1
1478794400144,0
1478794431177,1
1478794455226,0
1478794485254,1
1478794512278,0
1478794538307,1
1478794562384,0
1478794588417,1
1478794612447,0
1478794638477,1
1478794661505,0
1478794687533,1
1478794711557,0
1478794737583,1
1478794761613,0
1478794786643,1
1478794809676,0
1478794835703,1
1478794857763,0
1478794882793,1
1478794904825,0
1478794929853,1
1478794952939,0
1478794978967,1
1478795042833,0
1478795061852,0
1478795080872,0
1478795101893,0
1478795122912,0
1478795141933,0
1478795160953,0
1478795179972,0
1478795199992,0
1478795236012,0
1478795275033,0
1478795335069,0
1478795375083,0
1478795414102,0
1478795455122,0
1478795495142,0
1478795535163,0
1478795575183,0
1478795614202,0
1478795652222,0
1478795694242,0
1478795737262,0
1478795776282,0
1478795815303,0
1478795855323,0
1478795895332,0
1478795934352,0
1478795974372,0
1478796040877,0
1478796070959,1
1478796086376,0
1478796115407,1
1478796130439,0
1478796135763,1
1478796161466,1
1478796169809,0
1478796195530,0
1478796197835,1
1478796221856,0
1478796223555,1
1478796245884,1
1478796247580,0
1478796269907,0
1478796271606,1
1478796293933,1
1478796295627,0
1478796318957,0
1478796320663,1
1478796342985,1
1478796349695,0
1478796371723,1
1478796372042,0
1478796395063,1
1478796407747,0
1478796420086,0
1478796431773,1
1478796444112,1
1478796458797,0
1478796471144,0
1478796481824,1
1478796494185,1
1478796509848,0
1478796522217,0
1478796532875,1
1478796545243,1
1478796557906,0
1478796570265,0
1478796580932,1
1478796593294,1
1478796606068,0
1478796618316,0
1478796629093,1
1478796641343,1
1478796662115,0
1478796674367,0
1478796685145,1
1478796696394,1
1478796708165,0
1478796719416,0
1478796730193,1
1478796741445,1
1478796758225,0
1478796772483,0
1478796781253,1
1478796795510,1
1478796806275,0
1478796820552,0
1478796829303,1
1478796843586,1
