Time,CPU,ClientsInRoom,Rooms,Users,LocalUsers,Latency,BwUp,BwDown,InStreamBw,OutStreamBw,Streams,OutStreams
1479071218104,10.0,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1479071247355,9.9913871112706,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1479071277371,12.72469159007944,0,0,6,2,0.0,0.0,0.0,0.0,0.0,0,0
1479071307411,10.270568746548868,0,0,16,6,7.833333333333333,0.0,0.0,0.0,0.0,0,0
1479071337411,10.115766262403527,0,0,26,9,8.333333333333334,0.0,0.0,0.0,0.0,0,0
1479071367427,12.87204536423901,0,0,36,12,9.25,0.0,0.0,0.0,0.0,0,0
1479071397449,7.488399804570897,0,0,36,12,10.916666666666666,0.0,0.0,0.0,0.0,0,0
1479071427469,7.575323970119903,12,1,36,12,10.833333333333334,0.0,0.0,0.0,0.0,0,0
1479071457493,5.577095443482378,12,1,36,12,11.0,0.0,0.0,0.0,0.0,0,0
1479071487503,7.442501900116909,12,1,36,12,11.333333333333334,0.0,0.0,0.0,0.0,0,0
1479071517519,8.188249137978215,12,1,36,12,12.416666666666666,0.0,0.0,0.0,0.0,0,0
1479071547554,19.249980503174083,12,1,36,12,734.1666666666666,0.0,0.0,308.0287760631567,2343.6163317654177,4,32
1479071577567,12.952527813927677,12,1,36,12,11.333333333333334,0.0,0.0,319.44869634012105,2504.71015745414,4,32
1479071607582,11.862735708209152,12,1,36,12,14.666666666666666,0.0,0.0,317.66836180337793,2298.5194201463387,4,32
1479071637602,8.788606403013183,12,1,36,12,14.583333333333334,0.0,0.0,305.162143308775,2407.9673067407075,4,32
1479071667629,11.966009924808477,12,1,36,12,15.833333333333334,0.0,0.0,322.6518653020799,2512.0204806748134,4,32
1479071697654,11.967338594834434,12,1,36,12,62.25,0.0,0.0,312.29032913589776,2446.7926100779155,4,32
1479071727676,12.839671217111789,12,1,36,12,13.75,0.0,0.0,325.34900877723976,2435.052407390696,4,32
1479071757694,14.439680662329984,12,1,36,12,29.5,0.0,0.0,300.6632442116869,2486.362148566704,4,32
1479071787711,10.001697858575872,12,1,36,12,39.333333333333336,0.0,0.0,321.31821843670815,2355.414956758841,4,32
1479071817758,15.479823420184635,12,1,36,12,18.416666666666668,0.0,0.0,306.2638380824028,2308.0305572363723,4,32
1479071847740,11.861519389079886,12,1,36,12,10.5,0.0,0.0,324.1318966703357,2501.1722280916565,4,32
1479071877764,12.832867487260483,12,1,36,12,10.916666666666666,0.0,0.0,309.8905057779498,2525.983356341505,4,32
1479071907780,12.815846830258165,12,1,36,12,91.33333333333333,0.0,0.0,318.0032505665174,2472.5593116122254,4,32
1479071937800,9.64298806032677,12,1,36,12,13.916666666666666,0.0,0.0,307.85874829564824,2395.821053715487,4,32
1479071967817,10.956412103746398,12,1,36,12,13.916666666666666,0.0,0.0,321.16449869496137,2449.3410973672258,4,32
1479071997840,8.504397373962592,12,1,36,12,13.833333333333334,0.0,0.0,310.39639524297263,2396.0246065165443,4,32
1479072027863,12.013456996555554,12,1,36,12,14.083333333333334,0.0,0.0,327.12642321775945,2612.9069926189063,4,32
1479072057884,8.145374819629875,12,1,36,12,19.5,0.0,0.0,321.9452829918737,2412.762339918938,4,32
1479072087898,7.594115497076023,12,1,36,12,54.166666666666664,0.0,0.0,326.72888890478373,2563.6681198500796,4,32
1479072117920,8.550043827176253,12,1,36,12,13.25,0.0,0.0,315.5039441921949,2345.4764821254103,4,32
1479072147949,9.566544566544566,12,1,36,12,11.916666666666666,0.0,0.0,328.38783614172775,2541.0394064862353,4,32
1479072177973,10.639297536139797,12,1,36,12,12.416666666666666,0.0,0.0,325.49904428736295,2423.784622042702,4,32
1479072207986,10.491636492362321,12,1,36,12,15.333333333333334,0.0,0.0,327.6113520260909,2519.686195762081,4,32
1479072238005,9.82926647820265,12,1,36,12,10.833333333333334,0.0,0.0,317.4111137570719,2472.8447747084642,4,32
1479072268029,9.208216581296604,12,1,36,12,12.416666666666666,0.0,0.0,307.6631745825389,2397.269710232854,4,32
1479072298049,10.499346787224534,12,1,36,12,13.416666666666666,0.0,0.0,298.7563590116279,2404.9779017651927,4,32
1479072328060,19.369179876474753,12,1,36,12,10.583333333333334,0.0,0.0,325.3805364029449,2620.227317547037,4,32
1479072358086,92.14878905173343,12,1,36,12,24.25,0.0,0.0,296.70765786855503,2404.448100163867,4,32
1479072388095,22.93148954092377,7,1,20,7,22.714285714285715,0.0,0.0,239.5404175432445,2354.6834823515665,1,10
1479072418127,10.745345749339611,7,1,20,7,11.0,0.0,0.0,265.9656493582606,2632.734205591045,1,10
