Time,Server
1478134148553,1
1478134164140,3
1478134179168,2
1478134194234,0
1478134209287,2
1478134224311,0
1478134239349,2
1478134254374,0
1478134333877,1
1478134348904,0
1478134363938,1
1478134378960,0
1478134393978,1
1478134408998,0
1478134424021,1
1478134439050,0
1478134454070,1
1478134469097,0
1478134484123,1
1478134549791,0
1478134564820,0
1478134624833,0
1478134639845,0
1478134654865,0
1478134669884,0
1478134684906,0
1478134699924,0
1478134714949,0
1478134729964,0
1478134744985,0
1478134805011,0
1478134820025,0
1478134835045,0
1478134850064,0
1478134865084,0
1478134880105,0
1478134895124,0
1478134910144,0
1478134925164,0
1478134985189,0
1478135000205,0
1478135015224,0
1478135030244,0
1478135045264,0
1478135060285,0
1478135075304,0
1478135090325,0
1478135105345,0
1478135165369,0
1478135180384,0
1478135195404,0
1478135210424,0
1478135225444,0
1478135240465,0
1478135255485,0
1478135270504,0
1478135285524,0
1478135345551,0
1478135360564,0
1478135375584,0
1478135390604,0
1478135405624,0
1478135420644,0
1478135435664,0
1478135450684,0
1478135465704,0
1478135525728,0
1478135540745,0
1478135555764,0
1478135570784,0
1478135585805,0
1478135600824,0
1478135615844,0
1478135630864,0
1478135645884,0
1478135705920,0
1478135720934,0
1478135735955,0
1478135750975,0
1478135765995,0
1478135781014,0
1478135796033,0
1478135811055,0
1478135826074,0
1478135886099,0
1478135901114,0
1478135916134,0
1478135931154,0
1478135946174,0
1478135961194,0
1478135976214,0
1478135991235,0
1478136006254,0
1478136066281,0
1478136081294,0
1478136096314,0
1478136111334,0
1478136126354,0
1478136141374,0
1478136156394,0
1478136171414,0
1478136186433,0
1478136246461,0
1478136261474,0
1478136276485,0
1478136291504,0
1478136306524,0
1478136321544,0
1478136336564,0
1478136351584,0
1478136366594,0
1478136426636,0
1478136441654,0
1478136456674,0
1478136471694,0
1478136486714,0
1478136501734,0
1478136516745,0
1478136531763,0
1478136546784,0
1478136606810,0
1478136621827,0
1478136636844,0
1478136651863,0
1478136666885,0
1478136681904,0
1478136696924,0
1478136711945,0
1478136726954,0
1478136786992,0
1478136802004,0
1478136817023,0
