Time,CPU,ClientsInRoom,Rooms,Users,LocalUsers,Latency,BwUp,BwDown,InStreamBw,OutStreamBw,Streams,OutStreams
1478136814730,4.845505657729846,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136784716,4.3245371475632775,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136754694,3.7529451363177384,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136724674,3.715055119733515,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136694653,3.3625618885788424,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136664633,4.457949438100515,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136634631,3.601062763524923,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136604619,4.4875592952542105,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136574595,3.3012172503107133,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136544591,3.6335778474593114,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136514562,4.063789478006106,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136484548,3.5654019183430945,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136454525,3.3138250988370435,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136424502,3.332520659733866,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136394488,4.115407221405486,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136364474,3.6181011551132682,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136334461,4.129650213106596,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136304434,3.7702674676757475,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136274422,3.216571236106433,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136244406,4.030125188603793,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136214383,3.7494211204214243,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136184365,3.4641769995808187,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136154342,4.290248188704622,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136124323,3.849790975926193,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136094303,4.25936322115123,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136064288,4.748727021172842,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136034267,2.97911051212938,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478136004243,3.412414595966161,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135974225,3.9113846173268842,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135944219,4.305972894208187,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135914194,4.221430209262093,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135884175,4.292686040277753,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135854156,3.431404948575979,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135824149,4.3902864678472335,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135794123,3.331090174966353,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135764106,3.8870363264812435,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135734084,4.2046812208102535,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135704070,3.8316586461949806,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135674042,4.410203099139743,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135644022,4.321543521824192,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135614004,3.1922636797257957,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135583984,4.08870066286817,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135553965,4.042610173876927,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135523944,3.715623211139549,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135493931,4.7242770679219905,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135463910,5.2632692097150855,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135433899,3.698134532898566,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135403878,4.051742997905519,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135373854,4.369846187985482,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135343833,4.171862412647523,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135313815,3.5792558959067495,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135283799,4.57527346839365,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135253780,4.322980399187121,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135223764,4.7562635131715005,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135193747,4.723168669562012,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135163729,3.9866546759903003,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135133706,3.267093297406534,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135103689,15.681586733893862,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135073671,4.430147755568382,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135043647,3.785840238917938,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478135013631,5.039571978357371,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134983612,5.501023856241006,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134953585,3.7665974258716193,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134923562,3.6039589583372327,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134893546,5.078103800719984,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134863525,3.9508913555331313,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134833502,5.151965357494713,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134803484,3.533546354101311,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134773465,5.102728191310205,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134743458,4.948561107215112,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134713437,3.855622318531066,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134683417,4.125148957963348,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134653402,5.659940413315223,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134623375,4.525476285333852,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134593354,6.902904194766609,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134563387,14.074478805541174,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134533315,6.083019675187054,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134503297,20.571255309295765,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134473275,9.181564125095434,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134443255,9.214156275893377,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134413237,7.17698913709207,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134383220,21.354702222697984,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134353219,26.373874666812437,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134323178,12.341596643295514,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134293154,37.58939228631641,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134263125,45.37476511053287,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134233137,81.01187907062288,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134207962,99.0,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
1478134207961,99.0,0,0,0,0,NaN,NaN,NaN,0.0,0.0,0,0
