Time,AverageCPU,Sessions,Pheromone
8400.01,3,0.32,6.0,NaN
8460.01,3,0.26666666666666666,6.0,NaN
8520.01,3,0.32,6.0,NaN
8580.01,3,0.52,7.0,NaN
8640.01,3,0.6666666666666666,7.666666666666667,NaN
8700.01,3,0.6133333333333333,7.333333333333333,NaN
8760.01,3,0.43333333333333335,6.666666666666667,NaN
8820.01,3,0.39000000000000007,6.333333333333333,NaN
8880.01,3,0.5666666666666667,7.666666666666667,NaN
8940.01,3,0.6266666666666666,7.0,NaN
9000.01,3,0.43333333333333335,6.666666666666667,NaN
9060.01,3,0.7533333333333333,8.0,NaN
9120.01,3,0.6533333333333333,7.666666666666667,NaN
9180.01,3,0.7100000000000001,8.333333333333334,NaN
9240.01,3,0.69,8.666666666666666,NaN
9300.01,3,0.7633333333333333,8.333333333333334,NaN
9360.01,3,0.6566666666666666,8.333333333333334,NaN
9420.01,3,0.6833333333333332,9.333333333333334,NaN
9480.01,3,0.8633333333333333,10.333333333333334,NaN
9480.01,0,NaN,NaN,NaN
9540.01,4,0.7,8.25,NaN
9600.01,4,0.6325,8.0,NaN
9660.01,4,0.6125,8.5,NaN
9720.01,4,0.395,8.0,NaN
9780.01,4,0.35,8.0,NaN
9840.01,4,0.4,8.0,NaN
9900.01,4,0.2,7.25,NaN
9960.01,4,0.36250000000000004,8.0,NaN
10020.01,4,0.4,8.0,NaN
10080.01,4,0.32,7.75,NaN
10140.01,4,0.24,7.25,NaN
10200.01,4,0.24000000000000002,7.5,NaN
10260.01,4,0.32,8.0,NaN
10320.01,4,0.48,8.75,NaN
10380.01,4,0.5800000000000001,9.0,NaN
10440.01,4,0.3625,8.0,NaN
10500.01,4,0.3825,8.25,NaN
10560.01,4,0.3825,8.0,NaN
10620.01,4,0.36,8.25,NaN
10680.01,4,0.4625,8.75,NaN
10740.01,4,0.525,8.75,NaN
10800.01,4,0.495,8.25,NaN
10860.01,4,0.37000000000000005,7.75,NaN
10920.01,4,0.24,7.25,NaN
10980.01,4,0.28,7.5,NaN
11040.01,4,0.4,8.25,NaN
11100.01,4,0.44,8.25,NaN
11160.01,4,0.36250000000000004,8.0,NaN
11220.01,4,0.27999999999999997,7.5,NaN
11280.01,4,0.32,7.5,NaN
11340.01,4,0.32,8.0,NaN
11400.01,4,0.37000000000000005,8.0,NaN
11460.01,4,0.37000000000000005,7.75,NaN
11520.01,4,0.27999999999999997,7.5,NaN
11580.01,4,0.32,7.75,NaN
11640.01,4,0.4,8.25,NaN
11700.01,4,0.44,8.5,NaN
11760.01,4,0.45,8.5,NaN
11820.01,4,0.51,8.75,NaN
11880.01,4,0.48250000000000004,8.5,NaN
11940.01,4,0.76,10.5,NaN
12000.01,4,0.605,11.75,NaN
12060.01,4,0.655,12.75,NaN
12120.01,4,0.5575,13.25,NaN
12180.01,4,0.345,13.25,NaN
12240.01,4,0.375,14.5,NaN
12300.01,4,0.525,15.5,NaN
12360.01,4,0.5025,15.75,NaN
12420.01,4,0.3825,15.25,NaN
12480.01,4,0.32,15.0,NaN
12540.01,4,0.36000000000000004,15.25,NaN
12600.01,4,0.39999999999999997,15.5,NaN
12660.01,4,0.24000000000000002,14.5,NaN
12720.01,4,0.24,14.5,NaN
12780.01,4,0.24000000000000002,14.75,NaN
12840.01,4,0.24,14.5,NaN
12900.01,4,0.24000000000000002,14.5,NaN
12960.01,4,0.16,14.0,NaN
13020.01,3,0.10666666666666667,13.5,NaN
13020.01,0,NaN,NaN,NaN
13080.01,2,0.255,15.666666666666666,NaN
13140.01,3,0.37333333333333335,17.0,NaN
13200.01,3,0.4266666666666667,17.333333333333332,NaN
13260.01,3,0.4266666666666667,17.0,NaN
13320.01,3,0.10666666666666667,15.333333333333334,NaN
13380.01,3,0.26666666666666666,16.333333333333332,NaN
13440.01,3,0.39000000000000007,17.0,NaN
13500.01,3,0.52,18.0,NaN
13560.01,3,0.52,17.666666666666668,NaN
13620.01,3,0.32,16.666666666666668,NaN
13680.01,3,0.61,18.0,NaN
13740.01,3,0.4266666666666667,17.333333333333332,NaN
13800.01,3,0.7066666666666667,18.333333333333332,NaN
13860.01,3,0.45,17.0,NaN
13920.01,3,0.26666666666666666,16.333333333333332,NaN
13980.01,3,0.2733333333333334,16.333333333333332,NaN
14040.01,3,0.32,16.666666666666668,NaN
14100.01,3,0.6900000000000001,18.666666666666668,NaN
14160.01,3,0.8966666666666666,19.333333333333332,NaN
14160.01,0,NaN,NaN,NaN
14220.01,4,0.54,14.0,NaN
14280.01,4,0.44749999999999995,13.5,NaN
14340.01,4,0.2925,12.5,NaN
14400.01,4,0.2,12.25,NaN
14460.01,4,0.12,11.75,NaN
14520.01,4,0.16,12.0,NaN
14580.01,4,0.27999999999999997,12.75,NaN
14640.01,4,0.4,13.5,NaN
14700.01,4,0.4,13.5,NaN
14760.01,4,0.4,13.5,NaN
14820.01,4,0.32,13.0,NaN
14880.01,4,0.32,13.25,NaN
14940.01,4,0.495,13.75,NaN
15000.01,4,0.55,14.25,NaN
15060.01,4,0.515,14.0,NaN
15120.01,4,0.62,14.25,NaN
15180.01,4,0.39499999999999996,13.0,NaN
15240.01,4,0.4575,13.5,NaN
15300.01,4,0.48,14.0,NaN
15360.01,4,0.4025,13.5,NaN
15420.01,3,0.37333333333333335,12.75,NaN
15480.01,4,0.27999999999999997,12.75,NaN
15540.01,4,0.24000000000000002,12.5,NaN
15600.01,4,0.37000000000000005,13.5,NaN
15660.01,4,0.5375,14.0,NaN
15720.01,4,0.605,14.5,NaN
15780.01,4,0.63,14.5,NaN
15840.01,4,0.495,13.75,NaN
15900.01,4,0.41000000000000003,13.25,NaN
15960.01,4,0.24000000000000002,12.75,NaN
16020.01,4,0.4475,13.5,NaN
16080.01,4,0.6475,14.75,NaN
16140.01,4,0.6449999999999999,14.5,NaN
16200.01,4,0.44,13.5,NaN
16260.01,4,0.44,13.25,NaN
16320.01,4,0.41000000000000003,13.25,NaN
16380.01,4,0.61,14.25,NaN
16440.01,4,0.715,15.0,NaN
16500.01,4,0.8474999999999999,15.5,NaN
16500.01,0,NaN,NaN,NaN
16560.01,5,0.5279999999999999,12.8,NaN
16620.01,5,0.344,13.0,NaN
16680.01,4,0.515,13.8,NaN
16740.01,5,0.344,14.2,NaN
16800.01,5,0.352,14.2,NaN
16860.01,5,0.41600000000000004,14.6,NaN
16920.01,5,0.352,14.0,NaN
16980.01,5,0.192,13.4,NaN
17040.01,5,0.16,13.0,NaN
17100.01,5,0.32,14.2,NaN
17160.01,5,0.352,14.2,NaN
17220.01,5,0.41600000000000004,14.6,NaN
17280.01,5,0.22399999999999998,13.4,NaN
17340.01,5,0.192,13.2,NaN
17400.01,5,0.16,13.0,NaN
17460.01,5,0.22400000000000003,13.4,NaN
17520.01,5,0.288,13.8,NaN
17580.01,5,0.384,14.4,NaN
17640.01,5,0.44800000000000006,14.8,NaN
17700.01,5,0.51,15.2,NaN
17760.01,5,0.48,15.0,NaN
17820.01,5,0.658,15.2,NaN
17880.01,5,0.6119999999999999,15.0,NaN
17940.01,5,0.404,15.6,NaN
18000.01,5,0.304,15.8,NaN
18060.01,5,0.4699999999999999,17.0,NaN
18120.01,5,0.45,18.0,NaN
18180.01,5,0.502,18.6,NaN
18240.01,5,0.33599999999999997,18.2,NaN
18300.01,5,0.282,17.8,NaN
18360.01,5,0.40800000000000003,18.2,NaN
18420.01,5,0.352,17.8,NaN
18480.01,5,0.384,18.0,NaN
18540.01,5,0.352,18.0,NaN
18600.01,5,0.384,18.0,NaN
18660.01,5,0.41600000000000004,18.0,NaN
18720.01,5,0.384,18.0,NaN
18780.01,5,0.44799999999999995,18.4,NaN
18840.01,5,0.5059999999999999,18.8,NaN
18900.01,5,0.48,18.6,NaN
18960.01,5,0.28800000000000003,17.2,NaN
19020.01,5,0.256,17.0,NaN
19080.01,5,0.32,17.6,NaN
19140.01,5,0.288,17.4,NaN
19200.01,5,0.384,17.8,NaN
19260.01,5,0.22399999999999998,16.8,NaN
19320.01,5,0.22400000000000003,17.0,NaN
19380.01,5,0.22400000000000003,17.2,NaN
19440.01,5,0.288,17.4,NaN
19500.01,5,0.384,18.0,NaN
19560.01,5,0.44800000000000006,18.4,NaN
19620.01,5,0.32,17.6,NaN
19680.01,5,0.28800000000000003,17.4,NaN
19740.01,5,0.16,16.6,NaN
19800.01,5,0.128,16.4,NaN
19860.01,5,0.28800000000000003,17.4,NaN
19920.01,5,0.41600000000000004,18.2,NaN
19980.01,5,0.516,20.0,NaN
20040.01,5,0.35400000000000004,21.2,NaN
20100.01,5,0.514,22.4,NaN
20160.01,5,0.48600000000000004,22.4,NaN
20220.01,5,0.22399999999999998,22.6,NaN
20280.01,4,0.255,22.8,NaN
20340.01,5,0.16,23.4,NaN
20400.01,5,0.352,24.4,NaN
20460.01,5,0.582,25.8,NaN
20520.01,5,0.59,25.4,NaN
20580.01,5,0.372,24.6,NaN
20640.01,5,0.29,24.0,NaN
20700.01,5,0.22400000000000003,23.8,NaN
20760.01,5,0.256,24.0,NaN
20820.01,5,0.28800000000000003,24.0,NaN
20880.01,5,0.32,24.6,NaN
20940.01,5,0.46799999999999997,25.4,NaN
21000.01,5,0.5359999999999999,25.6,NaN
21060.01,5,0.492,25.4,NaN
21120.01,5,0.352,24.6,NaN
21180.01,5,0.32,24.4,NaN
21240.01,5,0.256,24.0,NaN
21300.01,5,0.22400000000000003,24.0,NaN
21360.01,5,0.32,24.2,NaN
21420.01,5,0.384,24.8,NaN
21480.01,5,0.41600000000000004,25.0,NaN
21540.01,5,0.516,25.6,NaN
21600.01,5,0.42000000000000004,26.0,NaN
21660.01,5,0.35,26.8,NaN
21720.01,5,0.466,28.0,NaN
21780.01,5,0.576,29.0,NaN
21840.01,5,0.524,31.6,NaN
21900.01,5,0.5119999999999999,32.4,NaN
21960.01,5,0.45999999999999996,33.6,NaN
22020.01,5,0.36800000000000005,34.6,NaN
22080.01,4,0.5775,35.4,NaN
22140.01,5,0.458,37.0,NaN
22200.01,5,0.4720000000000001,37.8,NaN
22260.01,5,0.45199999999999996,39.0,NaN
22320.01,5,0.328,40.8,NaN
22380.01,5,0.304,42.2,NaN
22440.01,5,0.3,43.6,NaN
22500.01,5,0.322,44.4,NaN
22560.01,5,0.402,45.4,NaN
22620.01,5,0.39799999999999996,46.6,NaN
22680.01,5,0.40800000000000003,48.4,NaN
22740.01,5,0.36,49.6,NaN
22800.01,5,0.43999999999999995,51.0,NaN
22860.01,5,0.40800000000000003,51.6,NaN
22920.01,5,0.358,52.6,NaN
22980.01,5,0.326,53.2,NaN
23040.01,5,0.51,54.4,NaN
23100.01,5,0.44400000000000006,55.0,NaN
23160.01,5,0.42400000000000004,55.0,NaN
23220.01,5,0.5199999999999999,55.4,NaN
23280.01,5,0.488,55.2,NaN
23340.01,5,0.44800000000000006,55.0,NaN
23400.01,5,0.52,55.6,NaN
23460.01,5,0.45200000000000007,55.8,NaN
23520.01,5,0.5200000000000001,56.8,NaN
23580.01,5,0.462,57.4,NaN
23640.01,5,0.376,58.0,NaN
23700.01,5,0.524,59.0,NaN
23760.01,5,0.4539999999999999,60.0,NaN
23820.01,5,0.58,60.6,NaN
23880.01,5,0.5359999999999999,61.8,NaN
23940.01,5,0.45200000000000007,62.4,NaN
24000.01,5,0.43599999999999994,62.8,NaN
24060.01,5,0.28,63.4,NaN
24120.01,5,0.4,64.4,NaN
24180.01,5,0.45599999999999996,65.0,NaN
24240.01,5,0.524,65.6,NaN
24300.01,5,0.44800000000000006,65.0,NaN
24360.01,5,0.528,65.6,NaN
24420.01,5,0.42800000000000005,66.0,NaN
24480.01,5,0.526,65.6,NaN
24540.01,5,0.4,65.6,NaN
24600.01,5,0.45,66.8,NaN
24660.01,5,0.588,67.0,NaN
24720.01,5,0.558,67.0,NaN
24780.01,5,0.53,68.4,NaN
24840.01,5,0.376,69.0,NaN
24900.01,5,0.46799999999999997,70.2,NaN
24960.01,5,0.434,71.6,NaN
25020.01,5,0.426,72.4,NaN
25080.01,5,0.392,73.0,NaN
25140.01,5,0.49800000000000005,74.4,NaN
25200.01,5,0.476,75.0,NaN
25260.01,5,0.5599999999999999,76.6,NaN
25320.01,5,0.548,77.2,NaN
25380.01,5,0.504,78.2,NaN
25440.01,5,0.414,79.2,NaN
25500.01,5,0.576,80.6,NaN
25560.01,5,0.5800000000000001,81.4,NaN
25620.01,5,0.48,82.4,NaN
25680.01,5,0.38,84.0,NaN
25740.01,5,0.472,85.4,NaN
25800.01,5,0.4039999999999999,86.6,NaN
25860.01,5,0.384,86.8,NaN
25920.01,5,0.38,88.8,NaN
25980.01,5,0.384,89.6,NaN
26040.01,5,0.5519999999999999,90.8,NaN
26100.01,5,0.43200000000000005,91.4,NaN
26160.01,5,0.42400000000000004,93.4,NaN
26220.01,5,0.38599999999999995,94.2,NaN
26280.01,5,0.518,95.2,NaN
26340.01,5,0.344,95.6,NaN
26400.01,5,0.346,96.6,NaN
26460.01,5,0.534,98.6,NaN
26520.01,5,0.54,99.2,NaN
26580.01,5,0.572,100.8,NaN
26640.01,5,0.5159999999999999,102.2,NaN
26700.01,5,0.4119999999999999,103.2,NaN
26760.01,5,0.33399999999999996,104.0,NaN
26820.01,5,0.376,105.4,NaN
26880.01,5,0.422,106.2,NaN
26940.01,5,0.396,107.6,NaN
27000.01,5,0.466,109.4,NaN
27060.01,5,0.41,111.2,NaN
27120.01,5,0.5,113.4,NaN
27180.01,5,0.4539999999999999,114.2,NaN
27240.01,5,0.378,115.8,NaN
27300.01,5,0.434,117.0,NaN
27360.01,5,0.42400000000000004,117.8,NaN
27420.01,5,0.314,118.8,NaN
27480.01,5,0.38,119.4,NaN
