Time,Servers,AverageCPU,Sessions,Pheromone
8220.01,4,0.3575,7.0,NaN
8280.01,4,0.3825,7.0,NaN
8340.01,4,0.2775,5.0,NaN
8400.01,4,0.2025,3.0,NaN
8460.01,4,0.27,4.0,NaN
8520.01,4,0.27,4.0,NaN
8580.01,4,0.27,4.0,NaN
8640.01,4,0.3025,5.0,NaN
8700.01,4,0.23500000000000001,4.0,NaN
8760.01,4,0.38249999999999995,7.0,NaN
8820.01,4,0.39,7.0,NaN
8880.01,4,0.43,8.0,NaN
8940.01,4,0.5,9.0,NaN
9000.01,4,0.3825,7.0,NaN
9060.01,4,0.57,12.0,NaN
9120.01,4,0.4225,8.0,NaN
9180.01,4,0.5349999999999999,12.0,NaN
9240.01,4,0.57,12.0,NaN
9300.01,4,0.5425,12.0,NaN
9360.01,4,0.5275,11.0,NaN
9420.01,4,0.43,8.0,NaN
9480.01,4,0.4725,9.0,NaN
9540.01,4,0.39,7.0,NaN
9600.01,4,0.35,6.0,NaN
9660.01,4,0.35,6.0,NaN
9720.01,4,0.31,5.0,NaN
9780.01,4,0.4925,10.0,NaN
9840.01,4,0.4225,8.0,NaN
9900.01,4,0.6174999999999999,13.0,NaN
9960.01,4,0.5,9.0,NaN
10020.01,4,0.5775,11.0,NaN
10080.01,4,0.4325,9.0,NaN
10140.01,4,0.425,8.0,NaN
10200.01,4,0.43,8.0,NaN
10260.01,4,0.5349999999999999,11.0,NaN
10320.01,4,0.5249999999999999,10.0,NaN
10380.01,4,0.3225,7.0,NaN
10440.01,4,0.35,6.0,NaN
10500.01,4,0.3825,6.0,NaN
10560.01,4,0.38999999999999996,7.0,NaN
10620.01,4,0.35,6.0,NaN
10680.01,4,0.35,6.0,NaN
10740.01,4,0.43,8.0,NaN
10800.01,4,0.38999999999999996,7.0,NaN
10860.01,4,0.4225,7.0,NaN
10920.01,4,0.31,5.0,NaN
10980.01,4,0.39749999999999996,8.0,NaN
11040.01,4,0.43,8.0,NaN
11100.01,4,0.5349999999999999,12.0,NaN
11160.01,5,0.42800000000000005,11.0,NaN
11220.01,5,0.394,10.0,NaN
11280.01,5,0.33399999999999996,8.0,NaN
11340.01,4,0.3175,6.0,NaN
11400.01,4,0.35,6.0,NaN
11460.01,4,0.31,5.0,NaN
11520.01,4,0.38999999999999996,7.0,NaN
11580.01,4,0.39749999999999996,8.0,NaN
11640.01,4,0.4575,9.0,NaN
11700.01,4,0.38999999999999996,7.0,NaN
11760.01,4,0.41500000000000004,7.0,NaN
11820.01,4,0.38999999999999996,7.0,NaN
11880.01,4,0.39,8.0,NaN
11940.01,4,0.4575,8.0,NaN
12000.01,4,0.4575,9.0,NaN
12060.01,4,0.46499999999999997,9.0,NaN
12120.01,4,0.35,7.0,NaN
12180.01,4,0.49999999999999994,10.0,NaN
12240.01,5,0.46399999999999997,12.0,NaN
12300.01,5,0.42800000000000005,11.0,NaN
12360.01,5,0.45199999999999996,11.0,NaN
12420.01,5,0.36,8.0,NaN
12480.01,5,0.42400000000000004,10.0,NaN
12540.01,5,0.39799999999999996,10.0,NaN
12600.01,5,0.392,8.0,NaN
12660.01,5,0.42400000000000004,9.0,NaN
12720.01,5,0.366,8.0,NaN
12780.01,5,0.43,10.0,NaN
12840.01,5,0.366,8.0,NaN
12900.01,5,0.366,8.0,NaN
12960.01,5,0.27,5.0,NaN
13020.01,5,0.392,9.0,NaN
13080.01,5,0.392,9.0,NaN
13140.01,5,0.392,9.0,NaN
13200.01,5,0.36,8.0,NaN
13260.01,5,0.458,11.0,NaN
13320.01,5,0.42400000000000004,10.0,NaN
13380.01,5,0.514,13.0,NaN
13440.01,5,0.394,9.0,NaN
