Time,Server
1478794789987,0
1478794821999,0
1478794852020,0
1478794885039,0
1478794917058,0
1478794950079,0
1478794981098,0
1478795009119,0
1478795038138,0
1478795071158,0
1478795101180,0
1478795131200,0
1478795162219,0
1478795193239,0
1478795222260,0
1478795258280,0
1478795290298,0
1478795320318,0
1478795350338,0
1478795381359,0
1478795413380,0
1478795443399,0
1478795477419,0
1478795511438,0
1478795543460,0
1478795572478,0
1478795590498,0
1478795608518,0
1478795626538,0
1478795644563,0
1478795662579,0
1478795680599,0
1478795698619,0
1478795727638,0
1478795760649,0
1478795792668,0
1478795825679,0
1478795855699,0
1478795885718,0
1478795916738,0
1478795946758,0
1478795979779,0
1478796013800,0
1478796046819,0
1478796079829,0
1478796111848,0
1478796144868,0
1478796177905,0
1478796207910,0
1478796239928,0
1478796269948,0
1478796299968,0
1478796330989,0
1478796367011,0
1478796399028,0
1478796435048,0
1478796469068,0
1478796494088,0
1478796512109,0
1478796530128,0
1478796548149,0
1478796566168,0
1478796584188,0
