Time,Server
1479058796919,0
1479058855959,0
1479058905979,0
1479058959998,0
1479059008018,0
1479059057037,0
1479059107059,0
1479059156077,0
1479059210098,0
1479059260118,0
1479059310138,0
1479059359158,0
1479059408178,0
1479059476180,0
1479059511270,1
1479059526957,0
1479059563983,1
1479059579018,0
1479059614052,1
1479059645143,0
1479059677182,1
1479059708217,0
1479059740240,1
1479059770270,0
1479059802300,1
1479059835328,0
1479059868360,1
1479059896449,0
1479059925469,1
1479059952499,0
1479059981536,1
1479060008564,0
1479060036596,1
1479060063627,0
1479060092652,1
1479060119701,0
1479060147727,1
1479060174045,0
1479060202071,1
1479060228124,0
1479060256148,1
1479060282182,0
1479060310208,1
1479060336227,0
1479060364259,1
1479060390325,0
1479060419348,1
1479060446387,0
1479060474417,1
1479060500436,0
1479060528458,1
1479060554476,0
1479060582497,1
1479060609526,0
1479060638548,1
1479060664577,0
1479060693607,1
1479060719654,0
1479060747677,1
1479060773697,0
1479060801718,1
1479060828737,0
1479060857757,1
1479060883776,0
1479060911797,1
1479060939066,0
1479060968087,1
1479060995106,0
1479061023127,1
1479061050150,0
1479061083178,1
1479061113253,0
1479061145277,1
1479061176326,0
1479061208347,1
1479061239367,0
1479061272388,1
1479061303443,0
1479061335473,1
1479061366542,0
1479061397568,1
1479061428622,0
1479061459648,1
1479061490666,0
1479061523687,1
1479061555746,0
1479061587769,1
1479061617829,0
1479061650857,1
1479061680883,0
1479061712913,1
1479061743936,0
1479061774958,1
1479061806989,0
1479061840017,1
1479061871105,0
1479061899127,1
1479061927190,0
1479061956218,1
1479061984295,0
1479062012317,1
1479062039345,0
1479062067370,1
1479062093396,0
1479062120420,1
1479062146445,0
1479062172467,1
1479062198486,0
1479062214507,1
1479062230538,0
1479062246577,1
