Time,Pheromone
1479038427539, 43.007
1479038442556, 42.007
1479038457576, 41.007
1479038472596, 40.007
1479038487616, 43.09499999999999
1479038502636, 42.09499999999999
1479038517656, 41.09499999999999
1479038532676, 40.09499999999999
1479038547696, 43.166999999999994
1479038562716, 42.166999999999994
1479038577736, 41.166999999999994
1479038592756, 40.166999999999994
1479038607776, 43.213
1479038622796, 42.213
1479038637816, 41.213
1479038652836, 40.213
1479038667856, 43.294999999999995
1479038682876, 42.294999999999995
1479038697896, 41.294999999999995
1479038712916, 40.294999999999995
1479038727936, 43.108999999999995
1479038742956, 42.108999999999995
1479038757977, 41.108999999999995
1479038772996, 40.108999999999995
1479038788016, 43.277
1479038803036, 42.277
1479038818056, 41.277
1479038833076, 40.277
1479038848096, 43.415000000000006
1479038863116, 42.415000000000006
1479038878136, 41.415000000000006
1479038893156, 40.415000000000006
1479038908176, 43.667
1479038923196, 42.667
1479038938216, 41.667
1479038953236, 40.667
1479038968256, 43.869
1479038983276, 42.869
1479038998296, 41.869
1479039013316, 40.869
1479039028336, 44.206999999999994
1479039043356, 43.206999999999994
1479039058376, 42.206999999999994
1479039073396, 45.45299999999999
1479039088416, 44.45299999999999
1479039103436, 43.45299999999999
1479039118456, 42.45299999999999
1479039133476, 45.69499999999999
1479039148496, 44.69499999999999
1479039163516, 43.69499999999999
1479039178536, 42.69499999999999
1479039193556, 45.97099999999999
1479039208576, 44.97099999999999
1479039223596, 43.97099999999999
1479039238616, 42.97099999999999
1479039253636, 46.20299999999999
1479039268656, 45.20299999999999
1479039283676, 44.20299999999999
1479039298696, 43.20299999999999
1479039313716, 48.484999999999985
1479039328736, 47.484999999999985
1479039343755, 48.667999999999985
1479039358776, 49.850999999999985
1479039373796, 48.850999999999985
1479039388816, 47.850999999999985
1479039403836, 49.00199999999998
1479039418856, 50.15299999999998
1479039433876, 49.15299999999998
1479039448896, 50.25499999999998
1479039463916, 51.356999999999985
1479039478936, 50.356999999999985
1479039493956, 49.356999999999985
1479039508976, 50.59399999999999
1479039523996, 51.73399999999999
1479039539016, 50.73399999999999
1479039554036, 49.73399999999999
1479039569056, 52.96599999999999
1479039584076, 51.96599999999999
1479039599096, 50.96599999999999
1479039614116, 52.12399999999999
1479039629136, 53.28199999999999
1479039644156, 52.28199999999999
1479039659176, 51.28199999999999
1479039674196, 52.40599999999999
1479039689216, 53.529999999999994
1479039704237, 52.529999999999994
1479039719256, 51.529999999999994
1479039734276, 52.660999999999994
1479039749296, 53.791999999999994
1479039764316, 52.791999999999994
1479039779336, 53.943
1479039794356, 55.076
1479039809376, 54.076
1479039824396, 53.076
1479039839416, 54.115
1479039854436, 53.115
1479039869456, 52.115
1479039884476, 51.115
1479039899496, 50.115
1479039914516, 49.115
1479039929536, 48.115
