Time,Pheromone
1479041139052, 41.053
1479041198103, 38.772
1479041261157, 38.165
1479041325199, 37.916999999999994
1479041385248, 37.339999999999996
1479041448291, 37.11
1479041508337, 37.084999999999994
1479041565376, 37.013999999999996
1479041619434, 36.98599999999999
1479041676473, 36.757999999999996
1479041734513, 37.438
1479041792559, 35.384
1479041850605, 35.105
1479041913655, 34.855999999999995
1479041970697, 34.68999999999999
1479042029737, 34.410999999999994
1479042091775, 34.224999999999994
1479042150815, 34.31899999999999
1479042205854, 33.820999999999984
1479042268892, 31.980999999999984
1479042322933, 31.781999999999982
1479042385972, 31.44099999999998
1479042441013, 32.58999999999998
1479042496052, 32.18199999999998
1479042561093, 31.814999999999984
1479042621133, 31.35899999999998
1479042682174, 29.48699999999998
1479042739213, 28.28099999999998
