Time,CPU,ClientsInRoom,Rooms,Users,LocalUsers,Latency,BwUp,BwDown,InStreamBw,OutStreamBw,Streams,OutStreams
1479040619028,11.024409763905563,2,1,3,2,0.0,0.0,0.0,0.0,0.0,0,0
1479040648149,14.275899336112396,5,1,13,5,8.0,0.0,0.0,0.0,0.0,0,0
1479040678156,10.943643512450851,8,1,23,8,10.0,0.0,0.0,0.0,0.0,0,0
1479040708167,11.084409784251752,12,1,33,12,75.58333333333333,0.0,0.0,0.0,0.0,0,0
1479040738193,12.440687561113684,15,1,43,15,10.266666666666667,0.0,0.0,0.0,0.0,0,0
1479040768226,11.342894393741853,16,1,45,16,10.9375,0.0,0.0,0.0,0.0,0,0
1479040798233,8.008249932606901,16,1,45,16,11.5625,0.0,0.0,0.0,0.0,0,0
1479040828259,6.685515712591634,16,1,45,16,12.6875,0.0,0.0,0.0,0.0,0,0
1479040858281,7.087126137841353,16,1,45,16,10.6875,0.0,0.0,0.0,0.0,0,0
1479040888294,14.766045892916527,16,1,45,16,10.9375,0.0,0.0,0.0,0.0,0,0
1479040918318,9.642718296925375,16,1,45,16,11.1875,0.0,0.0,0.0,0.0,0,0
1479040948337,7.424772859881637,16,1,45,16,11.8125,0.0,0.0,0.0,0.0,0,0
1479040978349,25.740757875257604,16,1,45,16,63.375,0.0,0.0,371.71600666410353,2694.236701313544,6,59
1479041008369,17.524741618005866,16,1,45,16,306.125,0.0,0.0,259.57206306017923,3238.913568972463,6,73
1479041038387,15.453243596545063,16,1,45,16,10.5,0.0,0.0,268.61204376044213,3452.179780765305,6,73
1479041068402,10.550924603741255,16,1,45,16,174.75,0.0,0.0,251.11763871571407,3116.7917372053666,6,73
1479041098426,13.923878170731935,16,1,45,16,58.0,0.0,0.0,277.0911433926898,3381.885752778149,6,73
1479041128451,13.565923051562956,16,1,45,16,25.5625,0.0,0.0,247.1022879763822,3065.2991273775583,6,73
1479041158478,13.330590300636382,16,1,45,16,11.75,0.0,0.0,286.77344063713025,3630.6430447070647,6,73
1479041188491,12.188599577762139,16,1,45,16,12.0,0.0,0.0,250.89081618932366,3398.2715262685833,6,73
1479041218504,16.908833254605575,16,1,45,16,116.4375,0.0,0.0,282.1696116635313,3555.232338417091,6,73
1479041248527,16.190124298923752,16,1,45,16,22.25,0.0,0.0,276.5804113283884,3498.4280175320305,6,73
1479041278542,10.438349637438392,16,1,45,16,59.875,0.0,0.0,266.9198836817262,3330.4476303840347,6,73
1479041308561,9.851726726726726,16,1,45,16,19.9375,0.0,0.0,283.40604026845637,3516.9117030201346,6,73
1479041338586,10.45503852562597,16,1,45,16,44.6875,0.0,0.0,273.3411398981097,3312.135507440675,6,73
1479041368603,11.517419909536093,16,1,45,16,18.75,0.0,0.0,269.77477139233747,3025.6604266216627,6,73
1479041398628,10.559866657376201,16,1,45,16,23.0625,0.0,0.0,264.2252951574173,3277.294765541624,6,73
1479041428640,12.001070627990233,16,1,45,16,148.625,0.0,0.0,263.9896795901969,3171.355505023623,6,73
1479041458669,10.19066851561873,16,1,45,16,83.25,0.0,0.0,234.4688501067806,2940.348872130272,6,73
1479041488691,13.074952667334895,16,1,45,16,12.3125,0.0,0.0,293.9423044730146,3455.2123605909496,6,73
1479041518706,15.685117125143854,16,1,45,16,17.125,0.0,0.0,276.9604775730877,3400.128108085514,6,73
1479041548730,11.085213165184594,16,1,45,16,20.3125,0.0,0.0,272.8831321260899,3502.8887331006867,6,73
1479041578741,9.06620777103523,16,1,45,16,11.5,0.0,0.0,279.94035357287584,2898.357296028637,6,73
1479041608770,9.150345605543501,16,1,45,16,160.4375,0.0,0.0,290.0334024127241,3240.4657804286303,6,73
1479041638786,12.083808329533365,16,1,45,16,15.0625,0.0,0.0,304.2017869184087,3686.606759586896,6,73
1479041668823,10.058437369559442,16,1,45,16,159.5625,0.0,0.0,274.2544043624161,3406.959941275166,6,73
1479041698823,11.992261056841205,16,1,45,16,12.4375,0.0,0.0,292.9650722932078,3786.831506011025,6,73
1479041728846,9.237932637165752,16,1,45,16,304.25,0.0,0.0,269.49230328752355,3542.9603290891932,6,73
1479041758860,13.518275203057811,16,1,45,16,11.5625,0.0,0.0,274.4481454655707,3475.820218418828,6,73
1479041788883,23.06252368321334,16,1,45,16,19.75,0.0,0.0,281.4531818488074,3619.288800363833,6,73
1479041818898,12.694940404066763,16,1,45,16,18.0,0.0,0.0,262.6476592956042,3313.7486977416343,6,73
1479041848920,15.883458646616544,16,1,45,16,40.8125,0.0,0.0,278.3574643342391,3400.9783819138706,6,73
1479041878941,10.056572119698801,16,1,45,16,12.125,0.0,0.0,280.60101096641534,3475.899391921542,6,73
1479041908967,12.327348066298342,16,1,45,16,18.9375,0.0,0.0,277.5049705196764,3241.1184097764994,6,73
1479041938988,16.36248043818466,16,1,45,16,23.4375,0.0,0.0,282.2485577587398,3451.929001130804,6,73
1479041969006,12.729074680719746,16,1,45,16,53.8125,0.0,0.0,285.35363314057554,3289.246437422553,6,73
1479041999023,10.253717085769377,16,1,45,16,16.625,0.0,0.0,284.74057033527697,3428.818511020827,6,73
1479042029077,11.216204543491404,16,1,45,16,26.4375,0.0,0.0,291.4427997076024,3789.7032620614013,6,73
1479042059060,9.609733174399413,16,1,45,16,24.625,0.0,0.0,251.50324951858983,3297.9361853799446,6,73
1479042089080,9.678275836812421,16,1,45,16,46.5625,0.0,0.0,244.01169151461204,2919.542210130553,6,73
1479042119100,9.430125883055057,16,1,45,16,76.375,0.0,0.0,278.29451760931204,3316.352037009402,6,73
1479042149119,12.720597792496823,16,1,45,16,15.9375,0.0,0.0,263.2357882669197,3470.270743405131,6,73
1479042179142,13.096700159799704,16,1,45,16,56.6875,0.0,0.0,278.73322147651004,3472.433118941085,6,73
1479042209159,10.294298774607203,16,1,45,16,237.8125,0.0,0.0,233.19026515715774,3068.6168628035166,6,73
