Time,Server
1479041014905,1
1479041065391,2
1479041085977,1
1479041136540,0
1479041153041,1
1479041201602,0
1479041219095,1
1479041270663,0
1479041292146,1
1479041341724,0
1479041357201,1
1479041408775,0
1479041421251,1
1479041473820,0
1479041488304,1
1479041537872,0
1479041551353,1
1479041603924,0
1479041617399,1
1479041668972,0
1479041683448,1
1479041734023,0
1479041747516,1
1479041800072,0
1479041814567,1
1479041864146,0
1479041890616,1
1479041943194,0
1479041955665,1
1479042008244,0
1479042025714,1
1479042077294,0
1479042089767,1
1479042143346,0
1479042156812,1
1479042205394,0
1479042219852,1
1479042275436,0
1479042288892,1
1479042335476,0
1479042353933,1
1479042407517,0
1479042422980,1
1479042472567,0
1479042490020,1
1479042540607,0
1479042555061,1
1479042604649,0
1479042642099,1
1479042676689,0
1479042762731,0
