Time,Server
1479036015627,1
1479036049025,0
1479036060683,1
1479036075139,2
1479036103735,1
1479036121215,2
1479036147794,1
1479036165264,2
1479036191840,1
1479036208324,2
1479036234889,1
1479036252374,2
1479036278941,1
1479036296421,2
1479036321995,1
1479036340471,2
1479036383521,2
1479036426585,2
1479036436624,1
1479036472682,1
1479036492154,0
1479036508739,1
1479036538216,0
1479036551804,1
1479036574274,0
1479036599856,1
1479036610330,0
1479036647904,1
1479036658390,0
1479036706440,0
1479036754491,0
1479036816008,0
1479036845030,0
1479036872048,0
1479036899069,0
1479036926087,0
1479036954107,0
1479036981128,0
1479037008148,0
1479037035169,0
1479037062188,0
1479037082208,0
1479037102228,0
1479037122248,0
1479037142269,0
1479037169288,0
1479037196307,0
1479037222328,0
1479037249350,0
1479037276368,0
1479037302388,0
1479037328408,0
1479037356429,0
1479037383448,0
1479037410471,0
1479037437488,0
1479037463508,0
1479037489528,0
1479037515548,0
1479037542570,0
1479037568587,0
1479037595607,0
1479037615628,0
1479037635638,0
1479037655658,0
1479037715695,0
1479037742708,0
1479037769727,0
1479037796748,0
1479037822767,0
1479037850788,0
